563	奇	奇	qí	qi	2
564	察	察	chá	cha	2
565	母	母	mǔ	mu	3
566	京	京	jīng	jing	1
567	段	段	duàn	duan	4
568	依	依	yī	yi	1
569	批	批	pī	pi	1
570	群	羣	qún	qun	2
571	项	項	xiàng	xiang	4
572	故	故	gù	gu	4
573	按	按	àn	an	4
574	河	河	hé	he	2
575	米	米	mǐ	mi	3
576	围	圍	wéi	wei	2
577	江	江	jiāng	jiang	1
578	织	織	zhī	zhi	1
579	害	害	hài	hai	4
580	斗	鬥	dòu	dou	4
581	双	雙	shuāng	shuang	1
582	境	境	jìng	jing	4
583	客	客	kè	ke	4
584	纪	紀	jì	ji	4
585	采	採	cǎi	cai	3
586	举	舉	jǔ	ju	3
587	杀	殺	shā	sha	1
588	攻	攻	gōng	gong	1
589	父	父	fù	fu	4
590	苏	蘇	sū	su	1
591	密	密	mì	mi	4
592	低	低	dī	di	1
593	朝	朝	cháo	chao	2
594	友	友	yǒu	you	3
595	诉	訴	sù	su	4
596	止	止	zhǐ	zhi	3
597	细	細	xì	xi	4
598	愿	願	yuàn	yuan	4
599	千	千	qiān	qian	1
600	值	值	zhí	zhi	2
601	仍	仍	réng	reng	2
602	男	男	nán	nan	2
603	钱	錢	qián	qian	2
604	破	破	pò	po	4
605	网	網	wǎng	wang	3
606	热	熱	rè	re	4
607	助	助	zhù	zhu	4
608	倒	倒	dào	dao	4
609	育	育	yù	yu	4
610	属	屬	shǔ	shu	3
611	坐	坐	zuò	zuo	4
612	帝	帝	dì	di	4
613	限	限	xiàn	xian	4
614	船	船	chuán	chuan	2
615	脸	臉	liǎn	lian	3
616	职	職	zhí	zhi	2
617	速	速	sù	su	4
618	刻	刻	kè	ke	4
619	乐	樂	lè	le	4
620	否	否	fǒu	fou	3
621	刚	剛	gāng	gang	1
622	威	威	wēi	wei	1
623	毛	毛	máo	mao	2
624	状	狀	zhuàng	zhuang	4
625	率	率	lǜ	lü	4
626	甚	甚	shén	shen	2
627	独	獨	dú	du	2
628	球	球	qiú	qiu	2
629	般	般	bān	ban	1
630	普	普	pǔ	pu	3
631	怕	怕	pà	pa	4
632	弹	彈	dàn	dan	4
633	校	校	xiào	xiao	4
634	苦	苦	kǔ	ku	3
635	创	創	chuàng	chuang	4
636	假	假	jiǎ	jia	3
637	久	久	jiǔ	jiu	3
638	错	錯	cuò	cuo	4
639	承	承	chéng	cheng	2
640	印	印	yìn	yin	4
641	晚	晚	wǎn	wan	3
642	兰	蘭	lán	lan	2
643	试	試	shì	shi	4
644	股	股	gǔ	gu	3
645	拿	拿	ná	na	2
646	脑	腦	nǎo	nao	3
647	预	預	yù	yu	4
648	谁	誰	shuí	shui	2
649	益	益	yì	yi	4
650	阳	陽	yáng	yang	2
651	若	若	ruò	ruo	4
652	哪	哪	nǎ	na	3
653	微	微	wēi	wei	1
654	尼	尼	ní	ni	2
655	继	繼	jì	ji	4
656	送	送	sòng	song	4
657	急	急	jí	ji	2
658	血	血	xuè	xue	4
659	惊	驚	jīng	jing	1
660	伤	傷	shāng	shang	1
661	素	素	sù	su	4
662	药	藥	yào	yao	4
663	适	適	shì	shi	4
664	波	波	bō	bo	1
665	夜	夜	yè	ye	4
666	省	省	shěng	sheng	3
667	初	初	chū	chu	1
668	喜	喜	xǐ	xi	3
669	卫	衛	wèi	wei	4
670	源	源	yuán	yuan	2
671	食	食	shí	shi	2
672	险	險	xiǎn	xian	3
673	待	待	dài	dai	4
674	述	述	shù	shu	4
675	陆	陸	lù	lu	4
676	习	習	xí	xi	2
677	置	置	zhì	zhi	4
678	居	居	jū	ju	1
679	劳	勞	láo	lao	2
680	财	財	cái	cai	2
681	环	環	huán	huan	2
682	排	排	pái	pai	2
683	福	福	fú	fu	2
684	纳	納	nà	na	4
685	欢	歡	huān	huan	1
686	雷	雷	léi	lei	2
687	警	警	jǐng	jing	3
688	获	獲	huò	huo	4
689	模	模	mó	mo	2
690	充	充	chōng	chong	1
691	负	負	fù	fu	4
692	云	雲	yún	yun	2
693	停	停	tíng	ting	2
694	木	木	mù	mu	4
695	游	遊	yóu	you	2
696	龙	龍	lóng	long	2
697	树	樹	shù	shu	4
698	疑	疑	yí	yi	2
699	层	層	céng	ceng	2
700	冷	冷	lěng	leng	3
701	洲	洲	zhōu	zhou	1
702	冲	衝	chōng	chong	1
703	射	射	shè	she	4
704	略	略	lüè	lüe	4
705	范	範	fàn	fan	4
706	竟	竟	jìng	jing	4
707	句	句	jù	ju	4
708	室	室	shì	shi	4
709	异	異	yì	yi	4
710	激	激	jī	ji	1
711	汉	漢	hàn	han	4
712	村	村	cūn	cun	1
713	哈	哈	hā	ha	1
714	策	策	cè	ce	4
715	演	演	yǎn	yan	3
716	简	簡	jiǎn	jian	3
717	卡	卡	kǎ	ka	3
718	罪	罪	zuì	zui	4
719	判	判	pàn	pan	4
720	担	擔	dān	dan	1
721	州	州	zhōu	zhou	1
722	静	靜	jìng	jing	4
723	退	退	tuì	tui	4
724	既	既	jì	ji	4
725	衣	衣	yī	yi	1
726	您	您	nín	nin	2
727	宗	宗	zōng	zong	1
728	积	積	jī	ji	1
729	余	餘	yú	yu	2
730	痛	痛	tòng	tong	4
731	检	檢	jiǎn	jian	3
732	差	差	chà	cha	4
733	富	富	fù	fu	4
734	灵	靈	líng	ling	2
735	协	協	xié	xie	2
736	角	角	jiǎo	jiao	3
737	占	佔	zhàn	zhan	4
738	配	配	pèi	pei	4
739	征	徵	zhēng	zheng	1
740	修	修	xiū	xiu	1
741	皮	皮	pí	pi	2
742	挥	揮	huī	hui	1
743	胜	勝	shèng	sheng	4
744	降	降	jiàng	jiang	4
745	阶	階	jiē	jie	1
746	审	審	shěn	shen	3
747	沉	沉	chén	chen	2
748	坚	堅	jiān	jian	1
749	善	善	shàn	shan	4
750	妈	媽	mā	ma	1
751	刘	劉	liú	liu	2
752	读	讀	dú	du	2
753	啊	啊	a	a	5
754	超	超	chāo	chao	1
755	免	免	miǎn	mian	3
756	压	壓	yā	ya	1
757	银	銀	yín	yin	2
758	买	買	mǎi	mai	3
759	皇	皇	huáng	huang	2
760	养	養	yǎng	yang	3
761	伊	伊	yī	yi	1
762	怀	懷	huái	huai	2
763	执	執	zhí	zhi	2
764	副	副	fù	fu	4
765	乱	亂	luàn	luan	4
766	抗	抗	kàng	kang	4
767	犯	犯	fàn	fan	4
768	追	追	zhuī	zhui	1
769	帮	幫	bāng	bang	1
770	宣	宣	xuān	xuan	1
771	佛	佛	fú	fu	2
772	岁	歲	suì	sui	4
773	航	航	háng	hang	2
774	优	優	yōu	you	1
775	怪	怪	guài	guai	4
776	香	香	xiāng	xiang	1
777	著	著	zhe	zhe	5
778	田	田	tián	tian	2
779	铁	鐵	tiě	tie	3
780	控	控	kòng	kong	4
781	税	稅	shuì	shui	4
782	左	左	zuǒ	zuo	3
783	右	右	yòu	you	4
784	份	份	fèn	fen	4
785	穿	穿	chuān	chuan	1
786	艺	藝	yì	yi	4
787	背	背	bèi	bei	4
788	阵	陣	zhèn	zhen	4
789	草	草	cǎo	cao	3
790	脚	腳	jiǎo	jiao	3
791	概	概	gài	gai	4
792	恶	惡	è	e	4
793	块	塊	kuài	kuai	4
794	顿	頓	dùn	dun	4
795	敢	敢	gǎn	gan	3
796	守	守	shǒu	shou	3
797	酒	酒	jiǔ	jiu	3
798	岛	島	dǎo	dao	3
799	托	託	tuō	tuo	1
800	央	央	yāng	yang	1
801	户	戶	hù	hu	4
802	烈	烈	liè	lie	4
803	洋	洋	yáng	yang	2
804	哥	哥	gē	ge	1
805	索	索	suǒ	suo	3
806	胡	胡	hú	hu	2
807	款	款	kuǎn	kuan	3
808	靠	靠	kào	kao	4
809	评	評	píng	ping	2
810	版	版	bǎn	ban	3
811	宝	寶	bǎo	bao	3
812	座	座	zuò	zuo	4
813	释	釋	shì	shi	4
814	景	景	jǐng	jing	3
815	顾	顧	gù	gu	4
816	弟	弟	dì	di	4
817	登	登	dēng	deng	1
818	货	貨	huò	huo	4
819	互	互	hù	hu	4
820	付	付	fù	fu	4
821	伯	伯	bó	bo	2
822	慢	慢	màn	man	4
823	欧	歐	ōu	ou	1
824	换	換	huàn	huan	4
825	闻	聞	wén	wen	2
826	危	危	wēi	wei	1
827	忙	忙	máng	mang	2
828	核	核	hé	he	2
829	暗	暗	àn	an	4
830	姐	姐	jiě	jie	3
831	介	介	jiè	jie	4
832	坏	壞	huài	huai	4
833	讨	討	tǎo	tao	3
834	丽	麗	lì	li	4
835	良	良	liáng	liang	2
836	序	序	xù	xu	4
837	升	升	shēng	sheng	1
838	监	監	jiān	jian	1
839	临	臨	lín	lin	2
840	亮	亮	liàng	liang	4
841	露	露	lù	lu	4
842	永	永	yǒng	yong	3
843	呼	呼	hū	hu	1
844	味	味	wèi	wei	4
845	野	野	yě	ye	3
846	架	架	jià	jia	4
847	域	域	yù	yu	4
848	沙	沙	shā	sha	1
849	掉	掉	diào	diao	4
850	括	括	kuò	kuo	4
